"conno","clssc_nm","entrp_nm","cont","unmrg_yr","undrt_ntn_nm","undrt_entrp_itm_nm","sell_ntn_nm","sell_entrp_nm","sell_entrp_itm_nm","unmrg_amt_val","unmrg_prps_cont","spftr_cont","rmrk","opert_sctin_cd","data_crtin_dt","cntct_prces_stts_cd","cntct_prces_dt"
"155",국내-국내(In-In),카카오,<p>카카오는 경험이 많은 개발자를 확보하려는 차원에서 이번 인수를 진행했다고 밝혔다.<br></p>,"2013","",인터넷 정보매개 서비스,"",써니로프트,써니로프트,"25",인재확충,"","",I,"20210119",S,"20231014"
"869",국내-국내(In-In),굿닥,"<p>당사((주)케어랩스)의 완전 자회사 및 손자회사간 합병이며, 본 합병시 합병회사는 피합병회사의 주식에 대해 신주를 발행하지 않으므로 합병비율은 1.00:0.00으로 산출<br></p>","2020","",소프트웨어 제작,"",바이탈랩스,바이탈랩스,"",사업 시너지 확대 및 경영효율성 증대,"","",I,"20210119",S,"20231014"
"129",국내-국내(In-In),야후코리아,<p>야후코리아가 컨텐츠 비즈니스 강화를 위한 전략적 투자의 일환으로 디지철 컨텐츠 전문기업 미디어코프 지분 7%를 24억원에 인수하였다.</p>,"2006","",인터넷 정보매개 서비스,"",미디어코프,미디어코프,"24",투자목적,지분 7%,"",I,"20210119",S,"20231014"
"130",국내-국내(In-In),GS홈쇼핑,<p>GS홈쇼핑은 디앤샵의 지분 29.34%를 인수해 경영권을 확보하였다.</p><p>이번 지분인수는 디앤샵의 대주주인 전 다음커뮤니케이션 대표 이재웅씨와 관계자 지분 39.34%를 인수하는 방식으로 이루어졌다.</p>,"2007","",유통,"",디앤샵,디앤샵,"395",시장장악,"","",I,"20210119",S,"20231014"
"471",국내-국내(In-In),그린에너지홀딩스,"<p>코엔텍의 최대주주인 후성에치디에스(주) 외6인은 보유주식 16,816,567주(총 발행주식의 33.63%)를 그린에너지홀딩스(유)에 양도하는 계약을 체결하였습니다.<br></p>","2017","",금융업,"",후성에이치디에스,후성에이치디에스,"944",최대주주 변경을 수반하는 주식양수도 계약,코엔텍 주식양수도,"",I,"20210119",S,"20231014"
"910",국내-해외(In-Out),에이스 탱커,<p>최근 동일철강 관계사 편입을 마무리지은 대선조선이 유럽 선주사와 4억 달러(한화 4450억 원 상당) 규모의 초대형 계약을 수주했다.</p><p><br></p><p>대선조선은 최근 유럽 특수 화학물 운송 전문회사인 에이스 탱커(Ace Tanker)와 33K SUS 화학제품 운반선 8척(옵션 포함) 수주 계약을 했다고 26일 밝혔다.</p><p>최근 선가를 고려하면 이번 계약 규모는 4억 달러 이상이며 이번 계약으로 올해 수주 목표인 3억 달러 수주를 달성했다고 대선조선 측은 덧붙였다.</p>,"2021",싱가포르,조선,대한민국,재선조선,재선조선,"4450",대선조선이 보유한 건조 선박에 대한 기술적 대응 능력과 생산 품질에 대한 믿음으로 이번 계약을 진행한 것으로 알려졌다.,"",출처 : http://www.busan.com/view/busan/view.php?code,I,"20221108",S,"20231014"
"81",국내-해외(In-Out),졸리비,"<p>필리핀 최대 외식업체 졸라비가 커피전문점 체인 커피빈을 3억5000만달러에 인수한다.</p><p>미래에셋자산운용 사모펀드 컨소시엄 등은 졸리비, 베트남 프렌차이즈 업체 비엣타이와 커피빈 지분 100%를 매각하는 내용의 주식매매계약을 체결했고, 졸리브 푸즈가 커피빈 지분 80%를 인수하고 나머지 20%를 비엣타이가 인수하기로 했다.</p><p>커피빈 지분은 미래에셋 컨소시엄이 75%, 기존 주주가 25%를 가지고 보유하고 있었다. 이로써 미래에셋 컨소시엄은 6여년만에 매각에 성공했다.</p>","2019",필리핀,외식업,한국,커피빈,커피빈,"3억5000만달러","","","",I,"20210119",S,"20231014"
"739",국내-국내(In-In),동원리소스,<p>기술 및 경영자원의 통합을 통한 시너지 효과를 창출하고 비용절감을 통한 경영의 효율성을 달성하기 위함<br></p>,"2015","",광업(자철광),"",엔엠씨,엔엠씨,"",기술 및 경영자원의 통합을 통한 시너지 효과를 창출하고 비용절감을 통한 경영의 효율성을 달성하기 위함,"","",I,"20210119",S,"20231014"
"224",국내-국내(In-In),이상네트웍스,"<p>합병회사인 (주)이상네트웍스가 피합병회사인 (주)이상전람을 계열회사로 유지함에 따른 불필요한 자원 낭비를 줄이며, 경영자원의 통합을 통한 시너지를 창출하고 경영의 효율성을 높일 수 있음<br></p>","2016","",B2B전자상거래,"",이상전람,이상전람,"","조직, 인력등의 운영 효율성을 높이고 상호 보완을 통해 경쟁력을 강화하여 사업의 시너지 효과를 극대화하여 기업가치 제고","","",I,"20210119",S,"20231014"
"569",해외-해외(Out-Out),이데미쓰코산,"<p>일본 정유업계 2위인 이데미쓰코산(出光興産)과 4위 쇼와셸석유가 합병한다. 일본 정유업계가 JXTG홀딩스와 합병 회사의 양강 체제로 재편된다. 이데미쓰코산과 쇼와셸석유는 주식교환 방식으로 경영을 통합하기로 합의했다”고 밝혔다.</p><p>쓰키오카 다카시 이데미쓰 회장은 “양사 경영통합에 대해 확실한 합의가 이뤄졌다”면서 “양사 모두 앞을 향해 나아갈 것”이라고 말했다.</p><p>2017년 기준 매출액은 JXTG가 10조310억엔, 두 회사 합산이 5조7765억엔이다. 3위인 코스모에너지홀딩스는 2조5231억엔이다.</p>","2019",일본,정유,일본,쇼와셸석유,쇼와셸석유,"",시장 경쟁력 강화,주식교환방식,"",I,"20210119",S,"20231014"
"189",국내-국내(In-In),메가스터디,"<p>합병회사인 메가스터디 주식회사는 피합병회사인 메가북스 주식회사의 주식을 100% 소유하고 있으며, 합병시 합병회사는 피합병회사의 주식에 대해 신주를 발행하지 않으므로 합병비율은 1:0으로 산출<br></p>","2015","",교육,"",메가북스,메가북스,"",경영 효율성을 증대하고 시너지 효과를 높임으로써 기업가치와 주주가치를 제고,"","",I,"20210119",S,"20231014"
"821",국내-국내(In-In),동부제철,"<p>1. 회사 경영에 미치는 효과</p><p>본 주요사항보고서 제출일 현재 동부제철(주)는 동부인천스틸(주)의 지분 100%를 보유하고 있음. 본 합병 완료시 동부제철(주)는 존속회사로 계속 남아 있게 되며, 피합병법인 동부인천스틸(주)는 합병 후 해산하게 됨. 합병법인 동부제철(주)는 본 합병을 함에 있어 신주를 발행하지 않으며, 본 합병 완료 후 동부제철(주)의 최대주주변경은 없음</p><p><br></p><p>2. 회사 재무 및 영업에 미치는 영향 및 효과</p><p>본 합병을 통해 사업 시너지 및 경영 효율성을 제고하여, 회사의 재무 및 영업에 긍정적인 영향을 미칠 것으로 예상함</p>","2019","",제철업,"",동부인천스틸,동부인천스틸,"",주주이익 제고,"","",I,"20210119",S,"20231014"
"112",국내-국내(In-In),솔본,"<p>새롬기술(솔본)이 프리챌 전 사장인 전제완씨의 개인지분 인수와 향후 유상증자 실권주 인수를 통해 프리챌과 그 자회사인 드림챌, 현찰닷컴을 인수한다.<br></p>","2002","",벤처투자,"",프리챌,프리챌,"132",투자목적,경영권 인수,"",I,"20210119",S,"20231014"
"604",국내-국내(In-In),하이플러스카드,<p>합병회사인 하이플러스카드(주)는 피합병회사인 대원건설산업(주)의 주식을 100%소유하고 있음.</p><p>합병 시 합병회사는 피합병회사의 주식에 대해 신주를 발행하지 않으므로 합병비율을 1 : 0으로 산출</p>,"2018","","서비스, 건설업, 도매 및 소매업","",대원건설산업,대원건설산업,"",완전모자회사 간 합병을 통한 경영효율성 증대 및 시너지 효과의 극대화,"","",I,"20210119",S,"20231014"
"420",해외-해외(Out-Out),마이크로소프트,"<p>마인크래프트(Minecraft)는 지난 2009년 출시된 후 다양한 게이머들의 사랑을 받으며 폭발적인 성장을 이어왔다.&nbsp;</p><p>PC는 물론 콘솔, 모바일 기기 등으로 발매돼 5천만장의 판매고를 올린 것은 물론 마인크래프트를 활용한 다양한 유즈맵의 등장으로 고유의 시장을 형성했다. 유럽 일부 국가에서는 마인크래프트를 학교 정규 수업 과목에 포함 시키기도 했다.</p>","2014",미국,IT,스웨덴,Mojang,Mojang,"25억달러","","","",I,"20210119",S,"20231014"
"75",국내-해외(In-Out),SK그룹,"<p>SK그룹이 베트남 최대 민영기업인 빈그룹과 전략적 파트너쉽을 맺어 동남아 시장을 확대해 나가고 있다.</p><p>SK그룹은 베트남 하노이에서 빈그룹 지주회사 지분 약 6.1%를 10억 달러에 매입하는 계약을 체결, SK그룹의 해외 시장 진출은 현지 기업과의 파트너쉽을 통해 사업영역을 확대하고 현지 파트너와의 시너지 강화, 사회적 가치 추구 등을 함께 추진할 방침이다.</p>","2019",한국,"",QPXMSKA,빈그룹,빈그룹,"10억달러","",지분 6.1%,"",I,"20210119",S,"20231014"
"187",국내-국내(In-In),아로마소프트,"<p>합병회사인 (주)아로마소프트는 피합병회사인 (주)네오디안테크놀로지의 지분100%를 소유하고 있으며, 양합병회사는 무증자방식에 의하여 1:0의 합병비율에 따라 합병하기로 결의<br></p>","2015","",소프트웨어 개발,"",네오디안테크놀로지,네오디안테크놀로지,"",경영자원의 통합을 통한 비용절감 등 경영의 효율성 증대를 통해 시너지효과를 극대화,"","",I,"20210119",S,"20231014"
"630",국내-국내(In-In),대산주택,<p>라이트론의 최대주주인 오중건외 공동보유자 2인이 보유하고 있는 주식을 대산주택(주)에게 양도하는 계약을 체결하였습니다.<br></p>,"2019","",주택신축판매,"",오중건,오중건,"74",최대주주 변경을 수반하는 주식양수도 계약,"","",I,"20210119",S,"20231014"
"174",국내-국내(In-In),사조오양,<p>(주)사조오양 : (주)사조남부햄 = 1 : 6.36652</p>,"2015","","수산동물 훈제, 조리","",사조남부햄,사조남부햄,"",양사간의 통합을 통해 시너지효과를 창출하고 사업다각화를 통한 시장 경쟁력 강화 및 경영의 효율성 제고를 실현함으로써 주주가치를 극대화,"","",I,"20210119",S,"20231014"
"487",해외-해외(Out-Out), 마산,<p>마산은 최근 기업인수합병(M&amp;A)과 외국기업과의 전략적 제휴를 통한 제품 개발에 힘쓰고 있다.</p><p>2017년엔 마산은 베트남 2위 커피 수출기업인 비나카페 비엔화 JSC 지분 50.1%를 인수해 단숨에 베트남 주요 커피생산업체로 올라섰다.</p>,"2017",베트남,식품,베트남,비나카페 비엔화 JSC,비나카페 비엔화 JSC,"","","",지분 50.1%,I,"20210119",S,"20231014"
"297",국내-국내(In-In),코아로직,"<p>합병법인이 피합병법인인(코메드생명과학㈜)의 발행주식 100%를 소유하고 있으며, 본 합병시 합병법인이 피합병법인의주식에 대해 신주를 발행하지 않는 무증자방식으로 진행하기 때문에 1:0 으로 산출함<br></p>","2017","",의료용 기기,"",코메드생명과학,코메드생명과학,"",의료/바이오사업 진출 등 사업다각화,"","",I,"20210119",S,"20231014"
"53",국내-해외(In-Out),롯데카드,"<p>롯데카드는 베트남 현지 소비자금융 회사인 '테크콤파이낸스' 지분 100%를 최종 인수하였다. 국내 카드사들 중 베트남 시장에 진출한 것은 롯데카드가 최초이다.</p><p>롯데카드가 인수한 테크콤 파이낸스는 신용카드, 할부금융, 소비자대출 등 금융 라이센스를 보유한 소비자금융 회사다. 이번 인수를 통해 1년 내 베트남 사업을 위한 제반 인프라 구축을 마치고, 현지인을 대상으로 본격적인 영업을 이어갈 예정이다.</p>","2018",한국,금융,베트남,트라파코,트라파코,"","신용카드 사업, 소비자대출 사업",현지 특화 상품도 개발,"",I,"20210119",S,"20231014"
"865",국내-국내(In-In),시노펙스,<p>- PTFE소재 사업 영역 확장에 따른 매출 증대</p><p>- 중장기 멤브레인필터 사업 통합사업장으로서의 기지를 확보</p><p>- 사업포트폴리오 확대에 따라 사업환경 변화로 인한 리스크 분산</p>,"2020","",전자부품,"",프론텍,프론텍,"20","- PTFE소재 사업 영역 확장에 따른 매출 증대
- 중장기 멤브레인필터 사업 통합사업장으로서의 기지를 확보
- 사업포트폴리오 확대에 따라 사업환경 변화로 인한 리스크 분산","","",I,"20210119",S,"20231014"
"327",국내-국내(In-In),나노바이오시스,"<p>본 합병을 통해 합병법인인 나노바이오시스 주식회사가 피합병법인인 주식회사 미코바이오메드간 인적, 물적 자원을 효율적으로 활용함으로써 경영효율성 증대를 기대할 수 있습니다. 이에 본건 합병의 효과는 궁극적으로 합병 당사회사의 재무 및 영업에 긍정적인 영향을 줄 수 있을 것으로 판단됩니다.<br></p>","2017","",전기식 진단 및 요법 기기,"",미코바이오메드,미코바이오메드,"260",경영효율성 증대 및 재무적 시너지 창출을 통한 진단분야 종합 POCT 전문회사로 발돋움,"","",I,"20210119",S,"20231014"
"308",국내-국내(In-In),뉴파워프라즈마,"<p>존속회사인 주식회사 뉴파워프라즈마는 주식회사 에이씨에스이의 지분 100%를 보유하고 있으며, 본 합병으로 인하여 존속하는 소멸회사의 주식에 대해 신주를 발행하지 않으므로 합병비율은 1:0으로 산출<br></p>","2017","",반도체 부품,"",에이씨에스이,에이씨에스이,"","1.인적.물적 통합으로 운영효율성 증대
2.사업간 시너지 제고 및 신사업역량 증대","","",I,"20210119",S,"20231014"
"513",국내-국내(In-In),유니온커뮤니티,"<p>(주)유니온커뮤니티는 (주)니트젠의 발행주식을 100% 보유하고 있으며, 합병 신주를 발행하지 않는 무증자 합병으로 진행하므로 본 합병이 존속회사인 (주)유니온커뮤니티의 경영, 재무, 영업에 유의적 영향을 미치지는 않을 것이나 조직통합을 통한 비용절감, 경영효율화 및 사업경쟁력의 제고가 기대됨</p><p>본 합병완료시 (주)유니온커뮤니티는 존속회사로 계속 남아있고, 피합병법인인 (주)니트젠은 합병후 해산하게 되며, 본 합병은 신주를 발행하지 않는 무증자 합병으로 본 합병 완료후 (주)유니온커뮤니티의 자본금 변동은 없음</p>","2018","",기타 무선 통신장비 제조,"",니트젠,니트젠,"","조직 통합을 통한 비용절감, 경영효율증대 및 사업경쟁력 극대화","","",I,"20210119",S,"20231014"
"879",해외-해외(Out-Out),소프트뱅크,"<p>2004년 소프트뱅크는 유선전화 시장으로 진출하고자 일본텔레콤 인수에 돌입하였다. 인수 조건으로는Ripplewood 홀딩스 등 6개사가 보유하고 있는 일본텔레콤 주식(보통주 144만주, 지분율 100%) 전체를 인수하는 조건이였다. 인수대가는 3,400억엔(보통주 인수금 1,433억엔, 우선주 인수대가 325억엔 및 순부채 1,640억엔 일괄인수)에 달하였으며, 인수대가 지급방식은 부채 인수액을 제외한 1,433억엔의 현금과 376억엔 상당의 소프트뱅크 신주예약권을 리플우드에 주는 것으로 타결되었다.</p><p><br></p><p>본 건 인수를 통해 소프트뱅크는 유선전화와 기업 상대 데이터통신까지 갖춘 종합통신회사로 도약하였고 제3세대 이동통신 참여를 위한 발판이 마련되었다고 평받았다.</p>","2004",일본,통신서비스,일본,일본텔레콤,일본텔레콤,"3,400억엔",유선전화 시장 진출,지분 100%인수,"",I,"20211222",S,"20231014"
"370",국내-국내(In-In),네이버랩스,"<p>합병회사인 네이버랩스(주)는 피합병회사인 (주)에피폴라의 주식을 100% 소유하고 있으며, 합병시 합병회사는 피합병회사의 주식에 대해 신주를 발행하지 않으므로 합병비율을 1:0으로 산출<br></p>","2018","",소프트웨어 개발 및 공급업,"",에피폴라,에피폴라,"",경영 효율성 증대를 통한 기업가치 제고,"","",I,"20210119",S,"20231014"
"636",국내-국내(In-In),엠다스,<p>당해 주식매매계약은 장내시간외매매방식으로 거래됩니다<br></p>,"2019","","제조, 건설, 도소매","",오리엔트바이오,오리엔트바이오,"15",최대주주 변경을 수반하는 주식양수도 계약,"","",I,"20210119",S,"20231014"
"596",국내-국내(In-In),하우동천,"<p>합병회사인(주)하우동천은 피합병회사인 (주)엔퓨리의 발행주식의 100%를 보유하고 있습니다.</p><p>또한 합병법인은 피합병법인을 합병비율 1:0으로 흡수합병하며, 본 합병으로 인하여 합병법인인 (주)하우동천은 존속회사로 계속남고 피합병법인인 (주)엔퓨리는 소멸됩니다.</p>","2018","",화학제품 제조,"",엔퓨리,엔퓨리,"",경영효율화 및 시너지 창출,"","",I,"20210119",S,"20231014"
"3",국내-국내(In-In),현대차,"<p>1997년 10월 기아차는 법정관리에 들어가게 되고 그 후, 1988년 7월 채권단은 국제입찰로 팔기로 결정하였다. 이에 따라 당시 입찰 회사인 현대자동차는 기아채 부채 7조1700억원을 탕감받는 조건으로 기아차 지분 51%를 취득하고 경영권을 인수해 갔다.<br></p>","1999","",자동차,"",기아차,기아차,"1조1,781",자동차 사업 강화,"지분 51%
법정관리를 통한 매각","",I,"20210119",S,"20231014"
"323",국내-국내(In-In),기가레인,"<p>합병회사인 (주)기가레인은 피합병회사인 (주)위솔루션의 지분 100%를 보유하고 있으며, 합병법인 (주)기가레인 은 본 합병을 함에 있어 신주를 발행하지 않습니다.</p><p>본 합병 완료 후 (주)기가레인의 최대주주 변경은 없습니다.</p><p>- 회사의 재무 및 영업에 미치는 영향</p><p>본 합병을 통해 인적, 물적 자원을 효율적으로 활용함으로써 경영효율성 증대를 기대할 수 있으며, 통합전략 수립을 통해 시너지효과를 극대화시켜 재무 및 영업에 긍정적인 영향을 미칠 것으로 예상합니다.</p>","2017","",반도체 제조용 기계 제조업,"",위솔루션,위솔루션,"","사업다각화, 다양한 수익구조 기반 창출과 조직 통합을 통한 경영효율성 증대","","",I,"20210119",S,"20231014"
"144",국내-국내(In-In),티켓몬스터,<p>양사 인수협상은 법적인 절차를 거쳐 마무리된 상태다. 업계에서는 티켓몬스터가 데일리픽에 현금 약 40억원과 티켓몬스터 지분 10%를 제공하는 것으로 알려졌다.&nbsp;<br></p>,"2011","",소셜커머스,"",데일리픽,데일리픽,"40",사업규모 확장,"40억원 + 지분10%","",I,"20210119",S,"20231014"
"362",국내-국내(In-In),호반건설,<p>합병회사인 (주)호반건설은 합병시 피합병회사인 (주)호반하우징의 주식에 대해 신주를 발행하지 않으므로 합병비율을 1:0으로 산출<br></p>,"2018","",주거용건물 건설 및 분양,"",호반하우징,호반하우징,"",경영 효율성 증대 및 사업간 시너지 효과의 극대화를 통한 기업가치 제고,"","",I,"20210119",S,"20231014"
"262",국내-국내(In-In),에스피지,"<p>1. 회사의 경영에 미치는 영향</p><p>가. 본 보고서 제출일 현재 합병법인인 (주)에스피지의 최대주주는 보통주 기준 17.96%의 지분을 소유한 이준호이며, 특수관계인 지분 포함 시 38.80%입니다. 피합병법인인 (주)성신의 최대주주는 보통주 기준 25.68%의 지분을 소유한 이준호이며, 특수관계인 지분 포함 시 67.72%(자기주식 제외)입니다.</p><p>나. 본 합병 완료 시 합병법인의 최대주주 변경은 없으며, 합병법인인 (주) 에스피지는 존속하고 피합병법인인 (주) 성신은 해산할 예정입니다.</p><p><br></p><p>2.&nbsp; 회사의 재무 및 영업에 미치는 영향</p><p>(주) 에스피지와 (주) 성신은 본 합병을 통해 사업다각화 등을 통한 시너지 효과를 거두어 대내외적으로 경쟁력 강화, 경영효율성 증대로 주주가치의 극대화를 실현하기 위하여 합병하고자 합니다. 이에 본 합병의 효과는 궁극적으로 합병 당사회사의 재무 및 영업에 긍정적인 영향을 줄 수 있을 것으로 판단됩니다.</p>","2016","",전동기 및 발전기 제조업,"",성신,성신,"267","인적ㆍ물적 자원의 효율적 사용과 시너지의 극대화 창출, 경영효율성 제고를 통한 수익성 강화로 경쟁력을 확보하여 매출증대를 꾀함으로써 궁극적으로 기업가치 및 주주이익을 제고","","",I,"20210119",S,"20231014"
"121",국내-국내(In-In),KDN스마텍,"<p>KDN스마텍은 온라인게임 포탈 및 퍼블리싱 사업을 본격적으로 강화할 계획으로 코쿤커뮤니케이션의 마케팅 역량 및 네트워크를 이용하고자 인수를 결정하였고, 이에 지분 70%(약 15억원)를 인수하였다.<br></p>","2005","",게임 퍼블리싱,"",코쿤커뮤니케이션 (다음게임),코쿤커뮤니케이션 (다음게임),"15",온라인게임 포탈 및 퍼블리싱 사업 강화,지분 70%,"",I,"20210119",S,"20231014"
"191",국내-국내(In-In),현대드림투게더제2호기업인수목적,"<p>합병법인이 피합병법인을 합병함에 있어서 합병비율의 기준이 되는 양 합병당사회사의 주당평가액은 합병법인과 피합병법인이 각각 2,270원(주당 액면가액 100원)과 119,767원(주당액면가액 5,000원)으로 평가되었으며, 이에 따라 합병 당사회사의 합병비율은 1:52.7618876으로 평가되었습니다.<br></p>","2015","",기업인수,"",심엔터테인먼트,심엔터테인먼트,"237","사업 확장, 대외신인도 제고, 재무구조 개선 등을 통한 경쟁력 강화, 경영효율성 증대로 주주가치의 극대화 실현","","",I,"20210119",S,"20231014"
